model_name,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test,cv_r2_mean,cv_r2_std
Random Forest,0.11638462456901266,0.003577905840144613,2.0661678683396434,2.253822625975106,2.3931536409167515,2.5971377205963346,-0.010518904843951349,0.010048057943645895
XGBoost,0.030152460530306513,0.0030490176961064375,2.1674133564631144,2.253148533980052,2.5072098384770425,2.5978268929528796,-0.0009424617446172068,0.006333471150035831
Gradient Boosting,0.0178958820362366,0.002347913500024834,2.181404308783345,2.2536005799564096,2.5230026995093104,2.5987401912319856,-0.001447632507134311,0.003637846552844938
Decision Tree,0.023550324977922643,-0.004314744102488222,2.1655861400118845,2.253152998060244,2.515729148686922,2.607403383745252,-0.019501868883229447,0.022224540827610443
