model_name,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test,cv_r2_mean,cv_r2_std,Target
Random Forest,0.11638462456901266,0.003577905840144613,2.0661678683396434,2.253822625975106,2.3931536409167515,2.5971377205963346,-0.010518904843951349,0.010048057943645895,Happiness Score
XGBoost,0.030152460530306513,0.0030490176961064375,2.1674133564631144,2.253148533980052,2.5072098384770425,2.5978268929528796,-0.0009424617446172068,0.006333471150035831,Happiness Score
Gradient Boosting,0.0178958820362366,0.002347913500024834,2.181404308783345,2.2536005799564096,2.5230026995093104,2.5987401912319856,-0.001447632507134311,0.003637846552844938,Happiness Score
Decision Tree,0.023550324977922643,-0.004314744102488222,2.1655861400118845,2.253152998060244,2.515729148686922,2.607403383745252,-0.019501868883229447,0.022224540827610443,Happiness Score
XGBoost,0.12878566980361938,0.0014369487762451172,0.636803388595581,0.6736956834793091,0.7651627371234347,0.8125559347412844,-0.0011002659797668458,0.004145232637034205,Stress Level
Gradient Boosting,0.014018938081354015,0.0004362773312930335,0.6737770197392003,0.6685870662842361,0.8140022381444573,0.8129629492557781,-0.005714711820977314,0.00309832691162393,Stress Level
Random Forest,0.10867866590076702,-0.006735751454308936,0.6486047028644574,0.6798563373996073,0.7739420850204864,0.8158743054989479,-0.005696140604776967,0.004775869415674107,Stress Level
Decision Tree,0.019834211830854875,-0.01710968307970484,0.6882385030116946,0.6934740691995717,0.8115982131588148,0.8200671296592893,-0.02741735003502064,0.009767273911486086,Stress Level
