model_name,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test,cv_r2_mean,cv_r2_std
XGBoost,0.12878566980361938,0.0014369487762451172,0.636803388595581,0.6736956834793091,0.7651627371234347,0.8125559347412844,-0.0011002659797668458,0.004145232637034205
Gradient Boosting,0.014018938081354015,0.0004362773312930335,0.6737770197392003,0.6685870662842361,0.8140022381444573,0.8129629492557781,-0.005714711820977314,0.00309832691162393
Random Forest,0.10867866590076702,-0.006735751454308936,0.6486047028644574,0.6798563373996073,0.7739420850204864,0.8158743054989479,-0.005696140604776967,0.004775869415674107
Decision Tree,0.019834211830854875,-0.01710968307970484,0.6882385030116946,0.6934740691995717,0.8115982131588148,0.8200671296592893,-0.02741735003502064,0.009767273911486086
