Feature,Importance
Sleep Hours,0.1745083335288204
Age,0.16489824066306055
Social Interaction Score,0.16468349212600283
Work Hours per Week,0.1423671964771305
Screen Time per Day (Hours),0.1263025527347311
Diet_Vegetarian,0.03831813489613821
Exercise Level,0.022284235520410103
Country_India,0.012238571024629776
Gender_Male,0.011917729320327341
Country_Japan,0.011697560638838993
MH_Anxiety,0.01150765240314521
Country_Brazil,0.011299626509755046
Country_Australia,0.011289625225804506
Gender_Female,0.010925507292480558
Country_Canada,0.01077658153435929
Diet_Vegan,0.009531866824773545
MH_Bipolar,0.009520893726101449
Country_USA,0.008974624390793377
Country_Germany,0.008271375895416896
MH_PTSD,0.008042598415725254
MH_Depression,0.007208467693287048
Gender_Other,0.007101701440699929
Diet_Keto,0.0055632219696365864
Diet_Junk Food,0.005436217636605182
Diet_Balanced,0.0053339921113264655
